Date	AirTemp	Humidity	WindSpd
1	12.1	63.8	0.3
2	10.8	72.6	1.4
3	10.5	73.5	2
4	9.7	74.5	1.2
5	9.8	75.9	1.8
6	9.3	73.9	1.3
7	8.2	75.5	1.2
8	8.7	84.1	0.7
9	8.9	84.9	1.8
10	7.9	84.6	1.5
11	8.4	80	1.2
12	7.2	77.1	2
13	8.7	71.2	2.5
14	8.3	72.2	2.2
15	6.7	82.7	0.9
16	7.4	75.2	2.6
17	8.8	73.6	0.7
18	9.3	76.5	2.1
19	6.7	85.4	1.7
20	8.2	88.4	2.7
21	9	90.3	1.9
22	9.4	91.1	0.9
23	5.3	88.4	7
24	6.3	72.1	5.9
25	6.3	65	6.4
26	6.3	55.4	8.3
27	6.9	49.5	6
28	6.1	61.3	2.9
29	10.5	48.7	6.3
30	10.7	51	5.4
31	11.4	57.4	4.6